geonameid,name,population,latitude,longitude,metro_id,metro_name,distance_km,impact,feature_code,admin2_code,feature_class
755368,Wojsławice,290,51.36197,21.32249,760778.0,Radom,12.978083283366924,0.4552515264769203,,,
755371,Wojsławice,383,50.20002,20.49997,3094802.0,Kraków,43.013565837196275,0.28857358983643405,,,
755427,Wojciechów,920,51.23543,22.24551,765876.0,Lublin,22.656674207572035,0.331297805888351,,,
755442,Wodynie,630,52.0404,21.95575,756135.0,Warsaw,67.78063111796632,0.2693127052710153,,,
755572,Wiśniowa,1900,49.7878,20.11502,3094802.0,Kraków,32.99914479892616,0.38540707051046125,,,
755581,Wiśniew,505,52.25802,21.72461,756135.0,Warsaw,48.634214966695716,0.39011777025469985,,,
755594,Wiskitki,1420,52.08831,20.38708,756135.0,Warsaw,45.424133310584104,0.41512481333143525,,,
755609,Winnica,560,52.64306,20.94114,756135.0,Warsaw,46.204355241383304,0.40890308535797976,,,
755698,Wilczyce,527,49.66713,20.20111,3094802.0,Kraków,47.76848128532607,0.25153063471391135,,,
755732,Wilamowice,186,52.60513,20.28488,756135.0,Warsaw,64.59245781308582,0.2864544990041677,,,
755792,Wierzbno,358,52.31008,21.85902,756135.0,Warsaw,58.33756691246846,0.32331982756069544,,,
755795,Wierzbno,421,50.15348,20.23476,3094802.0,Kraków,23.599697952268144,0.5056685526556922,,,
755810,Wierzbica,3956,51.2494,21.08259,760778.0,Radom,17.60806745567711,0.34382005608505106,,,
755884,Wielka Wieś,270,50.44603,20.1545,3094802.0,Kraków,45.48527417362053,0.2686835374779784,,,
755886,Wieliszew,3373,52.4513,20.96827,756135.0,Warsaw,24.809833424190945,0.6186658783851412,,,
755889,Wieliczka,18677,49.98738,20.06473,3094802.0,Kraków,12.312993349072748,0.7006383864085687,,,
755893,Wielgolas,150,52.68908,21.23151,756135.0,Warsaw,53.198317520837165,0.3571340753885722,,,
755895,Wielgolas,791,52.0318,21.73242,756135.0,Warsaw,53.89040724950074,0.35238206488112156,,,
755964,Wiązowna,980,52.17056,21.2915,756135.0,Warsaw,20.16841384459308,0.6768158342667915,,,
756045,Węgrzce Wielkie,1513,50.01491,20.11082,3094802.0,Kraków,13.476195932683417,0.6774820812268689,,,
756046,Węgrów,12512,52.39954,22.01634,756135.0,Warsaw,70.8468020438641,0.25379528634248116,,,
756053,Węglówka,1100,49.73424,20.08575,3094802.0,Kraków,37.91834409492208,0.3343432144638109,,,
756084,Wawrzeńczyce,3000,50.11012,20.31612,3094802.0,Kraków,27.614883095536637,0.45027988289097637,,,
756120,Wasilków,9440,53.19909,23.20776,776069.0,Białystok,7.864217533560513,0.6618330752532487,,,
756151,Warka,11048,51.7843,21.19091,756135.0,Warsaw,51.028763700192094,0.37244992611224187,,,
756299,Uście Solne,871,50.11915,20.51439,3094802.0,Kraków,41.717709148330584,0.2995830712874106,,,
756474,Tymbark,2700,49.72859,20.32539,3094802.0,Kraków,46.3187516000045,0.26229040558983596,,,
756562,Turowice,208,51.81387,20.90286,756135.0,Warsaw,46.842765422148084,0.4038816368565588,,,
756567,Turośń Kościelna,700,53.01463,23.05532,776069.0,Białystok,15.07467192808724,0.45331319355614186,,,
756595,Turek,176,52.26506,21.76083,756135.0,Warsaw,51.14542307039752,0.37160991214106465,,,
756613,Tułowice,350,52.33961,20.28244,756135.0,Warsaw,51.09235967821115,0.37199176367031817,,,
756679,Trzemeśnia,2200,49.82752,20.02207,3094802.0,Kraków,26.719681354364177,0.46207846330063085,,,
756696,Trzebień,330,51.73192,21.36652,756135.0,Warsaw,60.455116466151374,0.31033650701498466,,,
756736,Trzciana,1462,49.84485,20.37415,3094802.0,Kraków,39.49707299019757,0.3194348430109343,,,
756788,Trojany,490,52.47682,21.34626,756135.0,Warsaw,35.6468300154997,0.5016071292876859,,,
756792,Trojanów,180,52.12397,21.8555,756135.0,Warsaw,58.721391549612946,0.3209268301553705,,,
756824,Trablice,1447,51.35249,21.12877,760778.0,Radom,5.708528085778783,0.7074223419651309,,,
756826,Trąbki,1200,49.96226,20.1424,3094802.0,Kraków,18.382201236699157,0.587944334538095,,,
756842,Topór,159,52.119,21.91927,756135.0,Warsaw,63.096471915743386,0.2948699019382608,,,
756862,Tomice,280,52.00829,21.15761,756135.0,Warsaw,26.564157923171344,0.5980119343063628,,,
756919,Tłuszcz,7482,52.43058,21.43561,756135.0,Warsaw,36.44215931914093,0.4939447874315023,,,
756920,Tłuste,361,52.15034,20.61567,756135.0,Warsaw,28.409564782058723,0.5770293825203847,,,
756939,Teresin,2500,52.19887,20.41672,756135.0,Warsaw,40.686788152370276,0.4549873907308236,,,
756992,Tczów,620,51.326,21.44677,760778.0,Radom,22.475468466992314,0.2559523759227806,,,
757024,Tarnów,100,51.7912,21.43888,756135.0,Warsaw,56.85675143555186,0.33272054472219137,,,
757063,Targowisko,1670,49.98473,20.29346,3094802.0,Kraków,26.884364186820868,0.4598850078225455,,,
757071,Tarczyn,3904,51.98197,20.83394,756135.0,Warsaw,30.112133449437643,0.5583244658142597,,,
757343,Szelków,284,52.83487,21.21769,756135.0,Warsaw,68.7102832839865,0.26451022930828666,,,
757363,Szczytniki,559,49.9743,20.22995,3094802.0,Kraków,23.091520737106684,0.5131480255143599,,,
757367,Szczyrzyc,571,49.78304,20.19012,3094802.0,Kraków,35.884825363847874,0.3545761672519129,,,
757479,Szarów,1337,49.99505,20.2696,3094802.0,Kraków,24.90736177765694,0.486919425204862,,,
757692,Świdnik,40050,51.21898,22.69621,765876.0,Lublin,9.457878059324356,0.6305483979691815,,,
757751,Suraż,993,52.94908,22.95653,776069.0,Białystok,24.753638156607224,0.2727612679262997,,,
757758,Supraśl,4526,53.20526,23.33934,776069.0,Białystok,14.144124217249557,0.47600182725660495,,,
757775,Sułów,448,49.95056,20.12498,3094802.0,Kraków,18.255648928692462,0.590098098575003,,,
757782,Sułkowice,1100,51.9231,21.08929,756135.0,Warsaw,34.50925599349132,0.512773765961307,,,
757809,Sulejówek,18414,52.25221,21.26902,756135.0,Warsaw,17.692106634898146,0.7100445332312224,,,
757810,Sulejów,480,52.44058,21.56067,756135.0,Warsaw,44.048977464680384,0.42632208458018334,,,
757815,Sulechów,464,50.12696,20.10138,3094802.0,Kraków,13.830857582343347,0.6705751305559948,,,
757845,Suchy Las,78,52.13591,20.84965,756135.0,Warsaw,15.202420233315031,0.7450975354992286,,,
757894,Sucha,1170,51.61999,20.94887,756135.0,Warsaw,67.94145893581057,0.26847569372072694,,,
757933,Studzianki Pancerne,190,51.68969,21.32549,756135.0,Warsaw,63.7851901806577,0.29096536187895783,,,
757953,Strzyżowice,648,51.0483,22.44018,765876.0,Lublin,24.248960826989517,0.3065490945224121,,,
757988,Strzelce Wielkie,835,50.09405,20.58091,3094802.0,Kraków,46.12142787411465,0.2637900832659028,,,
758013,Stryków,130,51.66042,20.71095,756135.0,Warsaw,66.58204460930703,0.2756333683247947,,,
758071,Stromiec,909,51.647,21.09229,756135.0,Warsaw,65.03581797627167,0.28400690448378707,,,
758079,Stręgoborzyce,420,50.12327,20.29647,3094802.0,Kraków,26.578363119053442,0.46396905817734685,,,
758103,Strachówka,390,52.42692,21.635,756135.0,Warsaw,47.688290974555585,0.39732590358707437,,,
758144,Stojowice,425,49.88966,20.05022,3094802.0,Kraków,20.757083669806924,0.5489536505062864,,,
758157,Stoczek Łukowski,2718,51.96135,21.97137,756135.0,Warsaw,72.02619054419311,0.24806755974585104,,,
758162,Stoczek,890,52.54332,21.90013,756135.0,Warsaw,69.64319280851458,0.259777014420843,,,
758234,Stawiszyn,290,51.60053,20.92346,756135.0,Warsaw,70.23023591982266,0.2568421029883067,,,
758278,Stary Wiśnicz,1705,49.92548,20.48641,3094802.0,Kraków,42.111077205328975,0.29619737295067844,,,
758305,Starowiskitki,153,52.08615,20.34891,756135.0,Warsaw,47.95570474225721,0.39527475828334047,,,
758413,Stanisławów,568,52.41106,20.96397,756135.0,Warsaw,20.418715408907364,0.6735449007378257,,,
758414,Stanisławów,262,52.39823,20.57078,756135.0,Warsaw,35.34908824476928,0.5045061053528104,,,
758415,Stanisławów Pierwszy,1176,52.37485,21.05184,756135.0,Warsaw,16.36056733604882,0.7285814307532128,,,
758416,Stanisławów,2200,52.28937,21.54848,756135.0,Warsaw,37.12440341084779,0.48746526232952087,,,
758417,Stanisławów,132,52.12958,20.47989,756135.0,Warsaw,37.93840976286902,0.47984545460013006,,,
